document_name,article_number,livre,titre,chapitre,section,sous_section,pages,content,source_relative_path
Code_procedure_penale_fr_0,1,,,,,,2,"Les textes publiés ci-après et relatifs à la procédure en matière pénale sont réunis en un seul corps sous le titre de ""Code de procédure pénale"".",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,2,,,,,,2-3,"Sont abrogées, à compter de l'entrée en vigueur dudit code, à l’exception de la loi n° décembre 1921 portant promulgation du code de procédure pénale, tel qu'il a été modifié ou complété par les textes subséquents, les articles 17 et 18 du Code pénal, le décret du 3 août 1908, instituant une commission des grâces, la loi n° 58-58 du 23 mai 1958, relative à l'exercice du droit de grâce, le décret du 30 juin 1955, relatif au statut de l'enfance délinquante et le décret du 13 mars 1957 réglementant la libération conditionnelle. La présente loi sera publiée au Journal Officiel de la République Tunisienne et exécutée comme loi de l'Etat. Fait à Carthage, le 24 juillet 1968. Le Président de la République Tunisienne Habib Bourguiba CODE DE PROCÉDURE PENALE (1) DISPOSITIONS PRÉLIMINAIRES DE L'ACTION PUBLIQUE ET DEL'ACTION CIVILE",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,1,,,,,,3,"Toute infraction donne ouverture à une action publique ayant pour but l'application des peines et, si un dommage a été causé, à une action civile en réparation de ce dommage.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,2,,,,,,3,L'action publique est mise en mouvement et exercée par les magistrats ou par les fonctionnaires auxquels elle est confiée par la loi. Elle peut également être mise en mouvement par la partie lésée dans les conditions déterminées par le présent Code.,pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,3,,,,,,3,"Hors les cas prévus par la loi, l'action publique n'est pas subordonnée à l'existence d'une plainte et ne peut être arrêtée ni suspendue par le retrait de la plainte ou la renonciation à l'action civile.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,4,,,,,,3,"L'action publique s'éteint par : 1) la mort du prévenu, 2) la prescription, 3) l'amnistie, 4) l'abrogation de la loi pénale, 5) la chose jugée, 6) la transaction, lorsque la loi en dispose expressément, 7) le retrait de plainte, lorsque celle-ci est une condition nécessaire de la poursuite; le retrait de plainte à l'égard de l'un des inculpés profite à tous les autres.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,5,,,,,,3-4,"Sauf dispositions spéciales de la loi, l'action publique qui résulte d'un crime se prescrit par dix années révolues, celle qui résulte d'un délit par trois années révolues et celle qui résulte d'une contravention par une année révolue, et ce, à compter du jour où l'infraction a été commise si, dans cet intervalle, il n'a été fait aucun acte d'instruction ni de poursuite. La prescription est suspendue par tout obstacle de droit ou de fait empêchant l'exercice de l'action publique hors celui qui résulte de la volonté du prévenu. Dans le cas prévu à l'article 77, la prescription court, pendant la suspension des poursuites pour cause de démence, au profit du prévenu qui n'est pas en état de détention préventive. (1) Publié au Journal Officiel n° 32 du 2 et 6 août 1968.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,6,,,,,,4,"S'il a été fait, au cours des délais de prescription énumérés à l'article précédent, des actes d'instruction ou de poursuite non suivis de jugement, l'action publique interrompue ne se prescrit qu'à compter du dernier acte, même à l'égard des personnes qui ne seraient pas impliquées dans cet acte d'instruction ou de poursuite.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,7,,,,,,4,"L'action civile appartient à tous ceux qui ont personnellement souffert du dommage causé directement par l'infraction. Elle peut être exercée en même temps que l'action publique, ou, séparément devant la juridiction civile; dans ce dernier cas, il est sursis à son jugement tant qu'il n'a pas été statué définitivement sur l'action publique lorsque celle-ci a été mise en mouvement. La partie qui a exercé son action devant la juridiction civile compétente ne peut la porter devant la juridiction répressive. Il n'en est autrement que si celle-ci a été saisie par le ministère public avant qu'un jugement sur le fond ait été rendu par la juridiction civile.",pdfs/Code_procedure_penale_fr_0.pdf
Code_procedure_penale_fr_0,8,,,,,,4,L'action civile se prescrit dans les mêmes conditions et délais que l'action publique résultant de l'infraction qui lui donne ouverture. Elle est soumise à tous autres égards aux règles du droit civil.,pdfs/Code_procedure_penale_fr_0.pdf
